,No.,Pos.,Player,DoB,Caps,Club,Age,Country,Club_Country,WC_Year
42,-,DF,Marcel Capelle,1904-12-11,4,Racing Club de France,25.0,France,France,1930
43,-,MF,Augustin Chantrel,1906-11-11,8,CASG Paris,23.0,France,France,1930
44,-,MF,Edmond Delfour,1907-11-01,6,Racing Club de France,22.0,France,France,1930
45,-,MF,Célestin Delmer,1907-02-15,2,Amiens AC,23.0,France,France,1930
46,-,FW,Marcel Langiller,1908-06-02,8,Excelsior AC Roubaix,22.0,France,France,1930
47,-,DF,Jean Laurent,1906-12-30,3,FC Sochaux,23.0,France,France,1930
48,-,FW,Lucien Laurent,1907-12-10,2,FC Sochaux,22.0,France,France,1930
49,-,FW,Ernest Libérati,1906-03-22,3,Amiens AC,24.0,France,France,1930
50,-,FW,André Maschinot,1903-06-28,3,FC Sochaux,27.0,France,France,1930
51,-,DF,Étienne Mattler,1905-12-25,1,FC Sochaux,24.0,France,France,1930
52,-,FW,Marcel Pinel,1908-07-08,3,Red Star Paris,22.0,France,France,1930
53,-,GK,André Tassin,1902-02-23,0,Racing Club de France,28.0,France,France,1930
54,-,GK,Alex Thépot,1906-07-30,12,Red Star Paris,23.0,France,France,1930
55,-,FW,Émile Veinante,1907-06-12,3,Racing Club de France,23.0,France,France,1930
56,-,MF,Alexandre Villaplane,1905-09-12,22,Racing Club de France,24.0,France,France,1930
57,-,MF,Efraín Amézcua,1907-08-03,,Atlante,22.0,Mexico,Mexico,1930
58,-,GK,Oscar Bonfiglio,1905-10-05,,Marte,24.0,Mexico,Mexico,1930
59,-,FW,Juan Carreño,1907-08-14,,Atlante,22.0,Mexico,Mexico,1930
60,-,FW,Jesús Castro,1900-01-01,,Deportivo Mexico,,Mexico,Mexico,1930
61,-,DF,Rafael Garza Gutiérrez,1896-12-13,,América,33.0,Mexico,Mexico,1930
62,-,DF,Francisco Garza Gutiérrez,1904-03-14,,América,26.0,Mexico,Mexico,1930
63,-,FW,Roberto Gayón,1905-01-01,,América,,Mexico,Mexico,1930
64,-,FW,Hilario López,1907-11-18,,Marte,22.0,Mexico,Mexico,1930
65,-,FW,Dionisio Mejía,1907-01-06,,Atlante,23.0,Mexico,Mexico,1930
66,-,FW,Felipe Olivares,1907-11-18,,Atlante,,Mexico,Mexico,1930
67,-,FW,Luis Pérez,1907-01-01,,Necaxa,,Mexico,Mexico,1930
68,-,MF,Raymundo Rodríguez,1905-04-15,,Marte,,Mexico,Mexico,1930
69,-,MF,Felipe Rosas,1910-02-05,,Atlante,20.0,Mexico,Mexico,1930
70,-,DF,Manuel Rosas,1912-04-17,,Atlante,18.0,Mexico,Mexico,1930
71,-,FW,José Ruíz,1904-01-01,,Necaxa,,Mexico,Mexico,1930
72,-,MF,Alfredo Viejo Sánchez,1908-05-24,,América,22.0,Mexico,Mexico,1930
73,-,GK,Isidoro Sota,1902-02-04,,América,28.0,Mexico,Mexico,1930
74,,MF,Milorad Arsenijević,1906-06-06,16,BSK Beograd,24.0,Yugoslavia,Yugoslavia,1930
75,,FW,Ivan Bek,1909-10-29,2,FC Sète,20.0,Yugoslavia,France,1930
76,-,FW,Momčilo Đokić,1911-02-27,2,Jugoslavija Beograd,19.0,Yugoslavia,Yugoslavia,1930
77,-,MF,Branislav Hrnjiček,1908-06-05,4,Jugoslavija Beograd,22.0,Yugoslavia,Yugoslavia,1930
78,,DF,Milutin Ivković,1906-03-03,22,SK Soko,24.0,Yugoslavia,Yugoslavia,1930
79,,GK,Milovan Jakšić,1909-09-21,2,SK Soko,20.0,Yugoslavia,Yugoslavia,1930
80,,FW,Blagoje Marjanović,1907-09-09,15,BSK Beograd,22.0,Yugoslavia,Yugoslavia,1930
81,-,FW,Dušan Marković,1906-03-09,0,Vojvodina Novi Sad,24.0,Yugoslavia,Yugoslavia,1930
82,-,DF,Dragoslav Mihajlović,1906-12-13,1,BSK Beograd,23.0,Yugoslavia,Yugoslavia,1930
83,-,FW,Dragutin Najdanović,1908-04-15,3,BSK Beograd,22.0,Yugoslavia,Yugoslavia,1930
84,-,FW,Branislav Sekulić,1906-10-29,3,Club Francais,23.0,Yugoslavia,France,1930
85,-,MF,Teofilo Spasojević,1909-01-21,1,Jugoslavija Beograd,21.0,Yugoslavia,Yugoslavia,1930
86,-,DF,Ljubiša Stefanović,1910-01-04,0,FC Sète,20.0,Yugoslavia,France,1930
87,-,GK,Milan Stojanović,1911-12-28,0,BSK Beograd,18.0,Yugoslavia,Yugoslavia,1930
88,,FW,Aleksandar Tirnanić,1911-07-15,5,BSK Beograd,18.0,Yugoslavia,Yugoslavia,1930
89,-,DF,Dragomir Tošić,1909-11-08,0,BSK Beograd,20.0,Yugoslavia,Yugoslavia,1930
90,-,FW,Đorđe Vujadinović,1909-12-06,4,BSK Beograd,20.0,Yugoslavia,Yugoslavia,1930
91,-,FW,Araken,1905-07-17,,Flamengo,24.0,Brazil,Brazil,1930
92,-,FW,Benedicto,1910-05-10,,Botafogo,20.0,Brazil,Brazil,1930
93,-,DF,Brilhante,1904-11-05,,Vasco da Gama,25.0,Brazil,Brazil,1930
94,-,FW,Carvalho Leite,1912-06-25,,Botafogo,18.0,Brazil,Brazil,1930
95,-,MF,Fausto,1905-01-28,,Vasco da Gama,25.0,Brazil,Brazil,1930
96,-,MF,Fernando,1906-03-01,,Fluminense,24.0,Brazil,Brazil,1930
97,-,MF,Fortes,1901-09-09,,Fluminense,28.0,Brazil,Brazil,1930
98,-,MF,Hermógenes,1908-11-04,,America-RJ,21.0,Brazil,Brazil,1930
99,-,DF,Itália,1907-05-22,,Vasco da Gama,23.0,Brazil,Brazil,1930
100,-,MF,Ivan Mariz,1910-05-16,,Fluminense,20.0,Brazil,Brazil,1930
101,-,GK,Joel,1904-05-01,,América-RJ,26.0,Brazil,Brazil,1930
102,-,FW,Manoelzinho,1907-08-22,,Ypiranga Niterói,22.0,Brazil,Brazil,1930
103,-,FW,Moderato,1902-07-14,,Flamengo,27.0,Brazil,Brazil,1930
104,-,FW,Nilo,1903-04-03,,Botafogo,27.0,Brazil,Brazil,1930
105,-,MF,Oscarino,1907-01-17,,Ypiranga Niterói,23.0,Brazil,Brazil,1930
106,-,MF,Pamplona,1904-03-24,,Botafogo,26.0,Brazil,Brazil,1930
107,-,FW,Poly,1909-01-26,,Americano,21.0,Brazil,Brazil,1930
108,-,FW,Preguinho,1905-02-08,,Fluminense,25.0,Brazil,Brazil,1930
109,-,FW,Russinho,1902-12-18,,Vasco da Gama,27.0,Brazil,Brazil,1930
110,-,FW,Teóphilo,1900-04-11,,São Cristóvão,30.0,Brazil,Brazil,1930
111,-,GK,Velloso,1908-09-25,,Fluminense,21.0,Brazil,Brazil,1930
112,-,DF,Zé Luiz,1904-11-16,,São Cristóvão,25.0,Brazil,Brazil,1930
113,-,FW,Mario Alborta,1910-09-19,7,Club Bolívar,,Bolivia,Bolivia,1930
114,-,MF,Juan Argote,1906-01-01,0,Club Bolívar,,Bolivia,Bolivia,1930
115,-,GK,Jesús Bermúdez,1902-01-01,6,Oruro Royal,,Bolivia,Bolivia,1930
116,-,MF,Miguel Brito,1900-01-01,0,Oruro Royal,,Bolivia,Bolivia,1930
117,-,FW,José Bustamante,1907-01-01,7,Litoral,,Bolivia,Bolivia,1930
118,-,DF,Casiano Chavarría,1901-08-03,6,Calavera La Paz,28.0,Bolivia,Bolivia,1930
119,-,DF,Segundo Durandal,1912-03-17,0,Club San José,18.0,Bolivia,Bolivia,1930
120,-,FW,René Fernández,1906-01-01,0,Alianza Oruro,,Bolivia,Bolivia,1930
121,-,FW,Gumersindo Gómez,1907-01-01,0,Oruro Royal,,Bolivia,Bolivia,1930
122,-,MF,Diógenes Lara,1903-04-06,7,Club Bolívar,,Bolivia,Bolivia,1930
123,-,FW,Rafael Méndez,1904-01-01,7,Universitario La Paz,,Bolivia,Bolivia,1930
124,-,GK,Miguel Murillo,1900-01-01,0,Club Bolívar,,Bolivia,Bolivia,1930
125,-,MF,Constantino Noya,1900-01-01,0,Oruro Royal,,Bolivia,Bolivia,1930
126,-,FW,Eduardo Reyes Ortiz,1907-01-01,0,The Strongest,,Bolivia,Bolivia,1930
127,*,DF,Luis Reyes Peñaranda,1900-01-01,0,Universitario La Paz,,Bolivia,Bolivia,1930
128,-,MF,Renato Sáinz,1899-12-14,,The Strongest,30.0,Bolivia,Bolivia,1930
129,-,MF,Jorge Valderrama,1906-12-12,5,Oruro Royal,23.0,Bolivia,Bolivia,1930
130,0,MF,José Leandro Andrade,1901-11-22,30,Nacional,28.0,Uruguay,Uruguay,1930
131,0,FW,Peregrino Anselmo,1902-04-30,08,Peñarol,28.0,Uruguay,Uruguay,1930
132,0,GK,Enrique Ballestrero,1905-01-18,01,Rampla Juniors,25.0,Uruguay,Uruguay,1930
133,-,FW,Juan Carlos Calvo,1906-06-26,0-,Miramar Misiones,24.0,Uruguay,Uruguay,1930
134,-,GK,Miguel Capuccini,1904-01-05,06,Peñarol,26.0,Uruguay,Uruguay,1930
135,0,FW,Héctor Castro,1904-11-29,17,Nacional,25.0,Uruguay,Uruguay,1930
136,',FW,Pedro Cea,1900-09-01,21,Nacional,29.0,Uruguay,Uruguay,1930
137,0,FW,Pablo Dorado,1908-06-22,02,Bella Vista,22.0,Uruguay,Uruguay,1930
138,0,MF,Lorenzo Fernández,1900-05-20,20,Peñarol,30.0,Uruguay,Uruguay,1930
139,0,MF,Álvaro Gestido,1907-05-17,10,Peñarol,23.0,Uruguay,Uruguay,1930
140,',FW,Santos Iriarte,1902-11-02,0-,Racing Club,27.0,Uruguay,Uruguay,1930
141,0,DF,Ernesto Mascheroni,1907-11-21,0-,Olimpia,22.0,Uruguay,Uruguay,1930
142,-,MF,Ángel Melogno,1905-03-22,05,Bella Vista,25.0,Uruguay,Uruguay,1930
143,0,DF,José Nasazzi (c),1901-05-24,28,Bella Vista,29.0,Uruguay,Uruguay,1930
144,0,FW,Pedro Petrone,1905-05-11,28,Nacional,25.0,Uruguay,Uruguay,1930
145,-,MF,Conduelo Píriz,1905-06-17,07,Nacional,25.0,Uruguay,Uruguay,1930
146,-,DF,Emilio Recoba,1904-11-03,05,Nacional,25.0,Uruguay,Uruguay,1930
147,-,MF,Carlos Riolfo,1905-11-05,02,Peñarol,24.0,Uruguay,Uruguay,1930
148,-,FW,Zoilo Saldombide,1905-03-18,14,Nacional,25.0,Uruguay,Uruguay,1930
149,0,FW,Héctor Scarone,1898-11-26,49,Nacional,31.0,Uruguay,Uruguay,1930
150,0,DF,Domingo Tejera,1899-07-27,15,Montevideo Wanderers,30.0,Uruguay,Uruguay,1930
151,0,FW,Santos Urdinarán,1900-03-30,19,Nacional,30.0,Uruguay,Uruguay,1930
152,-,FW,Ştefan Barbu,1908-03-02,4,Gloria Arad,22.0,Romania,Romania,1930
153,-,DF,Rudolf Bürger,1908-10-31,4,Chinezul Timişoara,21.0,Romania,Romania,1930
154,-,DF,Iosif Czako,1906-06-11,1,UDR Reşiţa,24.0,Romania,Romania,1930
155,-,FW,Adalbert Deşu,1909-03-24,4,UDR Reşiţa,21.0,Romania,Romania,1930
156,-,MF,Alfred Eisenbeisser,1908-04-07,0,Dragoş Vodă Cernăuţi,22.0,Romania,Romania,1930
157,-,FW,Miklós Kovács,1911-12-23,3,Banatul Timişoara,18.0,Romania,Romania,1930
158,-,GK,Ion Lǎpuşneanu,1908-12-08,3,Sportul Studenţesc,21.0,Romania,Romania,1930
159,-,MF,Ladislau Raffinsky,1905-04-23,4,Juventus Bucuresti,25.0,Romania,Romania,1930
160,-,MF,Corneliu Robe,1908-05-23,0,Olympia Bucureşti,22.0,Romania,Romania,1930
161,-,FW,Constantin Stanciu,1911-03-05,4,Venus Bucureşti,19.0,Romania,Romania,1930
162,-,DF,Adalbert Steiner,1907-01-24,9,Chinezul Timişoara,23.0,Romania,Romania,1930
163,-,FW,Ilie Subăşeanu,1906-01-01,2,Olympia Bucureşti,24.0,Romania,Romania,1930
164,-,DF,Emerich Vogl,1905-08-12,10,Juventus Bucureşti,24.0,Romania,Romania,1930
165,-,FW,Rudolf Wetzer,1901-03-17,12,Juventus Bucureşti,29.0,Romania,Romania,1930
166,-,GK,Samuel Zauber,1900-11-10,0,Maccabi Bucureşti,29.0,Romania,Romania,1930
167,-,MF,Eduardo Astengo,,,Universitario de Deportes,,Peru,Peru,1930
168,-,MF,Carlos Cillóniz,,,Universitario de Deportes,,Peru,Peru,1930
169,-,DF,Mario de las Casas,1901-01-31,,Lawn Tennis de la Exposición,29.0,Peru,Peru,1930
170,-,MF,Alberto Denegri,,,Alianza Lima,,Peru,Peru,1930
171,-,DF,Arturo Fernández,1910-04-10,,Universitario de Deportes,20.0,Peru,Peru,1930
172,-,MF,Plácido Galindo,1906-03-09,,Universitario de Deportes,24.0,Peru,Peru,1930
173,-,MF,Domingo García,1904,,Alianza Lima,,Peru,Peru,1930
174,-,FW,José María Lavalle,1911-06-05,,Alianza Lima,19.0,Peru,Peru,1930
175,-,FW,Julio Lores,1908-09-15,,Necaxa,21.0,Peru,Mexico,1930
176,-,DF,Antonio Maquilón,1902-11-29,,Tarapacá Ferroviario,27.0,Peru,Peru,1930
177,-,FW,Demetrio Neyra,1906,,Alianza Lima,,Peru,Peru,1930
178,-,FW,Pablo Pacheco,,,Universitario de Deportes,,Peru,Peru,1930
179,-,GK,Jorge Pardon,1909-12-19,,Sporting Tabaco,20.0,Peru,Peru,1930
180,-,MF,Julio Quintana,,,Alianza Lima,,Peru,Peru,1930
181,-,FW,Lizardo Rodríguez Nue,1910-08-30,,Sport Progreso,19.0,Peru,Peru,1930
182,-,FW,Jorge Sarmiento,,,Alianza Lima,,Peru,Peru,1930
183,-,DF,Alberto Soria,1906-03-10,,Alianza Lima,24.0,Peru,Peru,1930
184,-,FW,Luis Souza Ferreira,1904-06-30,,Universitario de Deportes,26.0,Peru,Peru,1930
185,-,GK,Juan Valdivieso,1910-05-06,,Alianza Lima,20.0,Peru,Peru,1930
186,-,FW,Alejandro Villanueva,1908-06-04,,Alianza Lima,22.0,Peru,Peru,1930
187,-,MF,Andy Auld,1900-01-26,1,Providence Gold Bugs,30.0,United States,United States,1930
188,-,FW,Mike Bookie,1904-09-12,0,Cleveland Slavia,25.0,United States,United States,1930
189,-,FW,Jim Brown,1908-12-31,3,New York Giants,21.0,United States,United States,1930
190,-,GK,Jimmy Douglas,1898-01-12,5,New York Nationals,32.0,United States,United States,1930
191,-,FW,Tom Florie,1897-09-06,2,New Bedford Whalers,32.0,United States,United States,1930
192,-,MF,Jimmy Gallagher,1901-06-07,2,New York Nationals,29.0,United States,United States,1930
193,-,FW,James Gentle,1904-07-21,0,Philadelphia Cricket Club,25.0,United States,United States,1930
194,-,FW,Billy Gonsalves,1908-08-10,0,Fall River Marksmen,21.0,United States,United States,1930
195,-,FW,Bart McGhee,1899-04-30,0,New York Nationals,31.0,United States,United States,1930
196,-,DF,George Moorhouse,1901-05-04,1,New York Giants,29.0,United States,United States,1930
197,-,FW,Arnie Oliver,1907-05-22,0,Providence Gold Bugs,23.0,United States,United States,1930
198,-,FW,Bert Patenaude,1909-11-04,0,Fall River Marksmen,20.0,United States,United States,1930
199,-,MF,Philip Slone,1907-01-20,0,New York Giants,23.0,United States,United States,1930
200,-,FW,Raphael Tracey,1904-02-06,0,Ben Millers,26.0,United States,United States,1930
201,-,DF,Frank Vaughn,1902-02-18,0,Ben Millers,28.0,United States,United States,1930
202,-,DF,Alexander Wood,1907-06-12,0,Detroit Holley Carburetor,23.0,United States,United States,1930
203,-,MF,Francisco Aguirre,1908,,Olimpia,,Paraguay,Paraguay,1930
204,-,GK,Pedro Benítez,1901-01-12,,Libertad,29.0,Paraguay,Paraguay,1930
205,-,MF,Santiago Benítez,1903,,Olimpia,,Paraguay,Paraguay,1930
206,-,FW,Delfín Benítez Cáceres,1910-09-24,,Libertad,19.0,Paraguay,Paraguay,1930
207,-,FW,Saguier Carreras,,,Sportivo Luqueño,,Paraguay,Paraguay,1930
208,-,DF,Eustacio Chamorro,,,Presidente Hayes,,Paraguay,Paraguay,1930
209,-,GK,Modesto Denis,1901,,Nacional,,Paraguay,Paraguay,1930
210,-,MF,Eusebio Díaz,1901,,Guaraní,,Paraguay,Paraguay,1930
211,-,FW,Diógenes Domínguez,1902,,Sportivo Luqueño,,Paraguay,Paraguay,1930
212,-,MF,Romildo Etcheverry,1907,,Olimpia,,Paraguay,Paraguay,1930
213,-,MF,Diego Florentín,,,River Plate,,Paraguay,Paraguay,1930
214,-,DF,Salvador Flores,1906,,Cerro Porteño,,Paraguay,Paraguay,1930
215,-,MF,Tranquilino Garcete,1907,,Libertad,,Paraguay,Paraguay,1930
216,-,FW,Aurelio González,1905-09-25,,Olimpia,24.0,Paraguay,Paraguay,1930
217,-,DF,José Miracca,1903-09-23,,Nacional,26.0,Paraguay,Paraguay,1930
218,-,FW,Lino Nessi,1904,,Libertad,,Paraguay,Paraguay,1930
219,-,DF,Quiterio Olmedo,1907-12-21,,Nacional,22.0,Paraguay,Paraguay,1930
220,-,FW,Amadeo Ortega,,,River Plate,,Paraguay,Paraguay,1930
221,-,FW,Bernabé Rivera,,,Sportivo Luqueño,,Paraguay,Paraguay,1930
222,-,FW,Gerardo Romero,1906,,Libertad,,Paraguay,Paraguay,1930
223,-,FW,Luis Vargas Peña,1905,,Olimpia,,Paraguay,Paraguay,1930
224,-,FW,Jacinto Villalba,,,Cerro Porteño,,Paraguay,Paraguay,1930
225,-,FW,Ferdinand Adams,1903-05-03,21,SC Anderlechtois,27.0,Belgium,Belgium,1930
226,-,GK,Arnold Badjou,1909-06-26,3,Daring Club de Bruxelles Societe Royale,21.0,Belgium,Belgium,1930
227,-,MF,Pierre Braine,1900-10-26,42,Royal Beerschot AC,29.0,Belgium,Belgium,1930
228,-,MF,Alexis Chantraine,1901-03-16,0,Royal FC Liegeois,29.0,Belgium,Belgium,1930
229,-,GK,Jean De Bie,1892-05-09,37,Royal Racing Club de Bruxelles,38.0,Belgium,Belgium,1930
230,-,MF,Jean De Clercq,1905-05-17,5,Royal Antwerp FC,25.0,Belgium,Belgium,1930
231,-,DF,Henri De Deken,1907-08-03,0,Royal Antwerp FC,22.0,Belgium,Belgium,1930
232,-,MF,Gérard Delbeke,1903-09-01,0,Royal FC Brugeois,26.0,Belgium,Belgium,1930
233,-,FW,Jan Diddens,1908-09-14,21,RC de Malines Societe Royale,21.0,Belgium,Belgium,1930
234,-,MF,August Hellemans,1907-09-14,4,Royal FC Malinois,22.0,Belgium,Belgium,1930
235,-,DF,Nic Hoydonckx,1900-12-29,19,FC Excelsior Hasselt,29.0,Belgium,Belgium,1930
236,-,FW,Jacques Moeschal,1900-09-06,15,Royal Racing Club de Bruxelles,29.0,Belgium,Belgium,1930
237,-,DF,Theodore Nouwens,1908-02-17,10,RC de Malines Societe Royale,22.0,Belgium,Belgium,1930
238,-,FW,André Saeys,1911-02-20,0,Royal CS Brugeois,19.0,Belgium,Belgium,1930
239,-,FW,Louis Versyp,1908-12-05,7,Royal FC Brugeois,21.0,Belgium,Belgium,1930
240,-,FW,Bernard Voorhoof,1910-05-10,6,Liersche Sportkring,20.0,Belgium,Belgium,1930
241,-,DF,Luigi Allemandi,1903-11-18,9,Ambrosiana-Inter,30.0,Italy,Italy,1934
242,-,FW,Pietro Arcari,1909-12-02,0,Milan,24.0,Italy,Italy,1934
243,-,MF,Luigi Bertolini,1904-09-13,19,Juventus,29.0,Italy,Italy,1934
244,-,FW,Felice Borel,1914-04-05,2,Juventus,20.0,Italy,Italy,1934
245,-,DF,Umberto Caligaris,1901-07-26,59,Juventus,32.0,Italy,Italy,1934
246,-,MF,Armando Castellazzi,1904-10-07,2,Ambrosiana-Inter,29.0,Italy,Italy,1934
247,-,GK,Giuseppe Cavanna,1905-09-18,0,Napoli,28.0,Italy,Italy,1934
248,-,GK,Gianpiero Combi (c),1902-11-20,42,Juventus,31.0,Italy,Italy,1934
249,-,FW,Attilio Demaria,1909-03-19,1,Ambrosiana-Inter,25.0,Italy,Italy,1934
250,-,FW,Giovanni Ferrari,1907-12-06,19,Juventus,26.0,Italy,Italy,1934
251,-,MF,Attilio Ferraris,1904-03-26,22,Roma,30.0,Italy,Italy,1934
252,-,FW,Enrique Guaita,1910-07-11,2,Roma,23.0,Italy,Italy,1934
253,-,FW,Anfilogino Guarisi,1905-12-26,5,Lazio,28.0,Italy,Italy,1934
254,-,GK,Guido Masetti,1907-11-22,0,Roma,26.0,Italy,Italy,1934
255,-,MF,Giuseppe Meazza,1910-08-23,22,Ambrosiana-Inter,23.0,Italy,Italy,1934
256,-,MF,Luis Monti,1901-05-15,10,Juventus,33.0,Italy,Italy,1934
257,-,DF,Eraldo Monzeglio,1906-06-05,12,Bologna,27.0,Italy,Italy,1934
258,-,FW,Raimundo Orsi,1901-12-02,27,Juventus,32.0,Italy,Italy,1934
259,-,MF,Mario Pizziolo,1909-12-07,8,Fiorentina,24.0,Italy,Italy,1934
260,-,DF,Virginio Rosetta,1902-02-25,51,Juventus,32.0,Italy,Italy,1934
261,-,FW,Angelo Schiavio,1905-10-15,17,Bologna,28.0,Italy,Italy,1934
262,-,MF,Mario Varglien,1905-12-26,0,Juventus,28.0,Italy,Italy,1934
263,-,MF,Jaroslav Bouček,1912-11-13,1,AC Sparta Prague,21.0,Czechoslovakia,Czechoslovakia,1934
264,-,DF,Jaroslav Burgr,1906-03-07,31,AC Sparta Prague,28.0,Czechoslovakia,Czechoslovakia,1934
265,-,MF,Štefan Čambal,1908-12-17,14,SK Slavia Prague,25.0,Czechoslovakia,Czechoslovakia,1934
266,-,DF,Josef Čtyřoký,1906-09-30,18,AC Sparta Prague,27.0,Czechoslovakia,Czechoslovakia,1934
267,-,DF,Ferdinand Daučík,1910-05-31,1,ČsŠK Bratislava,23.0,Czechoslovakia,Czechoslovakia,1934
268,-,FW,František Junek,1907-01-17,26,SK Slavia Prague,27.0,Czechoslovakia,Czechoslovakia,1934
269,-,FW,Géza Kalocsay,1913-05-30,1,AC Sparta Prague,20.0,Czechoslovakia,Czechoslovakia,1934
270,-,MF,Vlastimil Kopecký,1912-10-14,4,SK Slavia Prague,21.0,Czechoslovakia,Czechoslovakia,1934
271,-,MF,Josef Košťálek,1909-08-31,11,AC Sparta Prague,24.0,Czechoslovakia,Czechoslovakia,1934
272,-,MF,Rudolf Krčil,1906-03-05,12,SK Slavia Prague,28.0,Czechoslovakia,Czechoslovakia,1934
273,-,FW,Oldřich Nejedlý,1909-12-25,14,AC Sparta Prague,24.0,Czechoslovakia,Czechoslovakia,1934
274,-,GK,Čestmír Patzel,1914-12-02,0,Teplitzer FK,19.0,Czechoslovakia,Czechoslovakia,1934
275,-,GK,František Plánička,1904-06-02,48,SK Slavia Prague,29.0,Czechoslovakia,Czechoslovakia,1934
276,-,FW,Antonín Puč,1907-05-16,42,SK Slavia Prague,27.0,Czechoslovakia,Czechoslovakia,1934
277,-,FW,Josef Silný,1902-01-23,49,AC Nimes,32.0,Czechoslovakia,France,1934
278,-,MF,Adolf Šimperský,1909-08-05,10,SK Slavia Prague,24.0,Czechoslovakia,Czechoslovakia,1934
279,-,FW,Jiří Sobotka,1911-06-06,3,SK Slavia Prague,22.0,Czechoslovakia,Czechoslovakia,1934
280,-,FW,Erich Srbek,1908-06-04,6,AC Sparta Prague,25.0,Czechoslovakia,Czechoslovakia,1934
281,*,MF,František Šterc,1912-01-27,0,SK Židenice,22.0,Czechoslovakia,Czechoslovakia,1934
