,rank,club,country,level,elo,from,to,year
150,None,Sparta Praha,CSR,1,1544.49963379,1962-05-07,1962-07-04,1962
151,None,Duisburg,FRG,1,1541.99438477,1962-04-15,1962-08-18,1962
152,None,Montpellier,FRA,1,1540.84106445,1962-05-20,1962-08-18,1962
153,None,Csepel,HUN,1,1539.7701416,1962-04-16,1962-07-01,1962
154,None,Saint-Etienne,FRA,1,1539.08813477,1962-05-20,1962-07-01,1962
155,None,Sunderland,ENG,2,1538.90209961,1962-04-29,1962-08-18,1962
156,None,Tatran Presov,CSR,1,1538.82458496,1962-05-07,1962-07-04,1962
157,None,Lyon,FRA,1,1535.99499512,1962-05-20,1962-08-18,1962
158,None,Herne,FRG,1,1534.94592285,1962-04-08,1962-08-18,1962
159,None,Spandau,FRG,1,1533.6340332,1962-03-26,1962-08-19,1962
160,None,Esbjerg,DEN,1,1532.4564209,1962-05-28,1962-06-03,1962
161,None,Nitra,CSR,1,1531.76000977,1962-05-07,1962-07-05,1962
162,None,Frankfurt Oder,GDR,1,1531.72412109,1962-05-28,1962-05-30,1962
163,None,KB Kobenhavn,DEN,1,1531.52978516,1962-05-28,1962-06-02,1962
164,None,Verona,ITA,2,1530.06799316,1962-05-28,1962-06-03,1962
165,None,Neftchi,URS,1,1528.4708252,1962-05-26,1962-05-31,1962
166,None,Fabril,POR,1,1528.25842285,1962-05-28,1962-09-19,1962
167,None,Pro Patria,ITA,2,1527.86169434,1962-05-28,1962-06-03,1962
168,None,Rennes,FRA,1,1527.60180664,1962-05-20,1962-08-18,1962
169,None,Braunschweig,FRG,1,1526.42822266,1962-04-16,1962-08-19,1962
170,None,Dinamo Minsk,URS,1,1525.76269531,1962-05-27,1962-05-31,1962
171,None,Vienna,AUT,1,1525.48071289,1962-05-27,1962-06-03,1962
172,None,Osnabrueck,FRG,1,1524.8371582,1962-04-16,1962-08-19,1962
173,None,SW Essen,FRG,1,1523.9909668,1962-04-15,1962-08-18,1962
174,None,Cardiff,ENG,1,1523.7097168,1962-05-02,1962-07-01,1962
175,None,Muenchen 60,FRG,1,1522.72949219,1962-04-16,1962-08-19,1962
176,None,Panathinaikos,GRE,1,1522.68286133,1962-05-28,1962-06-10,1962
177,None,SW Ludwigshafen,FRG,1,1518.92199707,1962-04-26,1962-08-19,1962
178,None,Hibernian,SCO,1,1517.58886719,1962-04-29,1962-08-22,1962
179,None,Messina,ITA,2,1517.43786621,1962-05-28,1962-06-03,1962
180,None,Alessandria,ITA,2,1516.64819336,1962-05-28,1962-06-03,1962
181,None,Servette,SUI,0,1516.23461914,1961-11-23,1962-09-12,1962
182,None,Motherwell,SCO,1,1515.82080078,1962-04-24,1962-08-22,1962
183,None,Strasbourg,FRA,1,1513.99450684,1962-05-20,1962-08-18,1962
184,None,Partick,SCO,1,1513.36047363,1962-04-29,1962-08-22,1962
185,None,Admira,AUT,1,1509.79541016,1962-05-27,1962-06-03,1962
186,None,GAK,AUT,1,1507.75085449,1962-05-27,1962-06-03,1962
187,None,Leyton Orient,ENG,2,1505.92895508,1962-04-29,1962-07-01,1962
188,None,Third Lanark,SCO,1,1505.4954834,1962-04-29,1962-08-22,1962
189,None,Trnava,CSR,1,1504.8494873,1962-05-07,1962-07-04,1962
190,None,Kladno,CSR,1,1502.25976562,1962-05-11,1962-07-04,1962
191,None,La Chaux-de-Fonds,SUI,0,1501.7467041,1961-11-23,1962-07-01,1962
192,None,Kairat,URS,1,1501.56945801,1962-05-26,1962-05-31,1962
193,None,Le Havre,FRA,1,1501.52990723,1962-05-20,1962-07-01,1962
194,None,Viktoria Plzen,CSR,1,1500.9720459,1962-05-07,1962-07-04,1962
195,None,Muenster,FRG,1,1500.94189453,1962-04-08,1962-08-18,1962
196,None,Zilina,CSR,1,1500.07336426,1962-05-07,1962-07-04,1962
197,None,Bayern Hof,FRG,1,1498.1385498,1962-04-22,1962-08-19,1962
198,None,Brescia,ITA,2,1496.07226562,1962-05-28,1962-06-03,1962
199,None,Reutlingen,FRG,1,1494.99145508,1962-04-16,1962-08-19,1962
200,None,Norrkoeping,SWE,1,1494.92565918,1962-05-25,1962-05-31,1962
201,None,Berliner SV 92,FRG,1,1494.60119629,1962-04-30,1962-08-19,1962
202,None,Dundee United,SCO,1,1494.59301758,1962-04-29,1962-08-22,1962
203,None,Modena,ITA,2,1494.46740723,1962-05-28,1962-06-03,1962
204,None,Preston,ENG,2,1491.0098877,1962-04-29,1962-08-18,1962
205,None,Monza,ITA,2,1486.73291016,1962-05-28,1962-06-03,1962
206,None,Parma,ITA,2,1484.81054688,1962-05-28,1962-06-03,1962
207,None,Aberdeen,SCO,1,1484.0793457,1962-04-29,1962-08-22,1962
208,None,Duesseldorf,FRG,1,1481.4699707,1962-04-08,1962-08-18,1962
209,None,Sochaux,FRA,1,1480.47229004,1962-05-20,1962-07-01,1962
210,None,Spartak Varna,BUL,0,1479.63122559,1961-09-28,1962-07-01,1962
211,None,Sambenedettese,ITA,2,1478.8638916,1962-05-28,1962-06-03,1962
212,None,Viktoria 89,FRG,1,1477.14111328,1962-04-30,1962-08-19,1962
213,None,Scunthorpe,ENG,2,1476.04638672,1962-04-29,1962-08-18,1962
214,None,VfR Mannheim,FRG,1,1475.41748047,1962-04-16,1962-08-19,1962
215,None,Newcastle,ENG,2,1475.3795166,1962-04-29,1962-08-18,1962
216,None,Wacker 04 Berlin,FRG,1,1472.03308105,1962-04-30,1962-08-19,1962
217,None,Aarhus,DEN,1,1471.84350586,1962-05-28,1962-06-03,1962
218,None,Catanzaro,ITA,2,1469.90356445,1962-05-28,1962-06-03,1962
219,None,Mainz,FRG,1,1469.24975586,1962-04-26,1962-08-19,1962
220,None,Saar 05,FRG,1,1468.88977051,1962-04-26,1962-08-19,1962
221,None,SC Ludwigshafen,FRG,1,1468.39245605,1962-04-26,1962-08-19,1962
222,None,Novara,ITA,2,1467.24353027,1962-05-28,1962-06-03,1962
223,None,Zalgiris Vilnius,URS,1,1466.75732422,1962-05-26,1962-05-31,1962
224,None,Fuerth,FRG,1,1466.63000488,1962-04-16,1962-08-19,1962
225,None,Metz,FRA,1,1465.88745117,1962-05-20,1962-07-01,1962
226,None,Charlton,ENG,2,1465.17907715,1962-05-01,1962-08-18,1962
227,None,Neumuenster,FRG,1,1464.63671875,1962-04-30,1962-08-19,1962
228,None,Simmering,AUT,1,1462.63916016,1962-05-28,1962-06-03,1962
229,None,Reggiana,ITA,2,1462.43518066,1962-05-28,1962-06-03,1962
230,None,Daugava,URS,1,1461.09130859,1962-05-26,1962-05-31,1962
231,None,Como,ITA,2,1460.4206543,1962-05-28,1962-06-03,1962
232,None,Middlesbrough,ENG,2,1459.61608887,1962-04-29,1962-08-18,1962
233,None,Fenerbahce,TUR,1,1459.56945801,1962-05-25,1962-06-06,1962
234,None,Hannover,FRG,1,1459.10327148,1962-04-16,1962-08-19,1962
235,None,Galatasaray,TUR,1,1459.02783203,1962-05-28,1962-05-31,1962
236,None,Sportfreunde Saarbruecken,FRG,1,1458.71435547,1962-04-26,1962-08-19,1962
237,None,Zehlendorf,FRG,1,1458.52978516,1962-03-26,1962-08-19,1962
238,None,Aachen,FRG,1,1456.83972168,1962-04-08,1962-08-18,1962
239,None,Airdrieonians,SCO,1,1455.9753418,1962-04-29,1962-08-22,1962
240,None,Southampton,ENG,2,1455.55273438,1962-04-29,1962-08-18,1962
241,None,Lucchese,ITA,2,1452.70996094,1962-05-28,1962-06-03,1962
242,None,Raith Rovers,SCO,1,1450.7668457,1962-04-29,1962-08-22,1962
243,None,BFC Dynamo,GDR,1,1450.27685547,1962-05-28,1962-05-30,1962
244,None,Guimaraes,POR,1,1449.10131836,1962-05-28,1962-09-19,1962
245,None,Huddersfield,ENG,2,1448.78210449,1962-04-29,1962-08-18,1962
246,None,Bad Kreuznach,FRG,1,1448.47961426,1962-04-26,1962-08-19,1962
247,None,SVS Linz,AUT,1,1448.30041504,1962-05-27,1962-06-02,1962
248,None,Cosenza,ITA,2,1448.26147461,1962-05-28,1962-06-03,1962
249,None,Viktoria Koeln,FRG,1,1447.86767578,1962-04-15,1962-08-18,1962
250,None,Aue,GDR,1,1446.89916992,1962-05-28,1962-05-30,1962
251,None,Plymouth Argyle,ENG,2,1446.1217041,1962-04-29,1962-08-18,1962
252,None,Prato,ITA,2,1445.1427002,1962-05-28,1962-06-03,1962
253,None,Dinamo Bucuresti,ROM,1,1444.61999512,1962-05-28,1962-06-03,1962
254,None,St Mirren,SCO,1,1444.53918457,1962-04-29,1962-08-22,1962
255,None,Feyenoord,NED,1,1444.09033203,1962-05-21,1962-08-26,1962
256,None,Olympiakos,GRE,1,1441.07714844,1962-05-21,1962-06-03,1962
257,None,Oldenburg,FRG,1,1440.67993164,1962-04-16,1962-08-19,1962
258,None,Leixoes,POR,1,1440.48718262,1962-05-28,1962-09-19,1962
259,None,Gladbach,FRG,1,1439.6907959,1962-04-15,1962-08-18,1962
260,None,Augsburg,FRG,1,1438.67858887,1962-04-22,1962-08-19,1962
261,None,Schweinfurt,FRG,1,1438.55126953,1962-04-16,1962-08-19,1962
262,None,Suedring Berlin,FRG,1,1434.09387207,1962-04-30,1962-08-19,1962
263,None,St Johnstone,SCO,1,1432.79992676,1962-04-29,1962-07-01,1962
264,None,Academica,POR,1,1431.62536621,1962-05-28,1962-09-19,1962
265,None,Altona,FRG,1,1430.8782959,1962-04-16,1962-08-19,1962
266,None,Vejle,DEN,1,1430.40515137,1962-05-28,1962-06-03,1962
267,None,Koblenz,FRG,1,1429.46459961,1962-04-26,1962-08-19,1962
268,None,Leeds,ENG,2,1429.29931641,1962-04-29,1962-08-18,1962
269,None,Falkirk,SCO,1,1429.28930664,1962-04-29,1962-08-22,1962
270,None,FSV Frankfurt,FRG,1,1428.52331543,1962-04-16,1962-07-01,1962
271,None,B1913,DEN,1,1424.7635498,1962-05-28,1962-06-03,1962
272,None,Concordia Hamburg,FRG,1,1424.0098877,1962-04-22,1962-08-19,1962
273,None,Empor Rostock,GDR,1,1423.65405273,1962-05-28,1962-05-30,1962
274,None,Norwich,ENG,2,1421.59301758,1962-04-29,1962-08-18,1962
275,None,Bergedorf,FRG,1,1421.33581543,1962-04-16,1962-08-19,1962
276,None,AEK,GRE,1,1421.27404785,1962-05-28,1962-06-10,1962
277,None,Luton,ENG,2,1420.95568848,1962-04-29,1962-08-18,1962
278,None,Hamborn,FRG,1,1420.58911133,1962-04-08,1962-08-18,1962
279,None,Besiktas,TUR,1,1419.38513184,1962-05-30,1962-06-07,1962
280,None,Bremerhaven,FRG,1,1419.17773438,1962-04-16,1962-08-19,1962
281,None,Stoke,ENG,2,1418.71325684,1962-04-29,1962-08-18,1962
282,None,Jena,GDR,1,1418.38989258,1962-05-28,1962-05-30,1962
283,None,Oppau,FRG,1,1416.68664551,1962-04-26,1962-08-19,1962
284,None,Rotherham,ENG,2,1414.43493652,1962-04-29,1962-08-18,1962
285,None,Swansea,ENG,2,1414.09338379,1962-05-05,1962-08-18,1962
286,None,Atletico CP,POR,1,1413.32250977,1962-05-28,1962-09-19,1962
287,None,Odense,DEN,1,1411.56213379,1962-05-28,1962-06-03,1962
288,None,Schwaben Augsburg,FRG,1,1407.52050781,1962-04-16,1962-08-19,1962
289,None,Steaua,ROM,1,1406.66687012,1962-05-28,1962-06-03,1962
290,None,B1909,DEN,1,1405.85351562,1962-05-28,1962-06-03,1962
291,None,Derby,ENG,2,1405.52026367,1962-04-29,1962-08-18,1962
292,None,Phoenix Ludwigshafen,FRG,1,1405.07299805,1962-04-26,1962-07-01,1962
293,None,Waldhof,FRG,1,1404.83654785,1962-04-16,1962-07-01,1962
294,None,Petrolul Ploiesti,ROM,1,1401.9029541,1962-05-14,1962-05-30,1962
295,None,Lok Leipzig,GDR,1,1401.03186035,1962-05-28,1962-05-30,1962
296,None,VfR Kaiserslautern,FRG,1,1400.4888916,1962-04-26,1962-08-19,1962
297,None,Fredrikstad,NOR,1,1400.3157959,1962-05-28,1962-05-31,1962
298,None,Walsall,ENG,2,1398.90136719,1962-04-29,1962-08-18,1962
299,None,Drumcondra,IRL,0,1396.08752441,1961-09-28,1962-07-01,1962
300,None,Marl-Huels,FRG,1,1394.82421875,1962-04-08,1962-08-18,1962
301,None,Elfsborg,SWE,1,1394.68591309,1962-05-28,1962-05-31,1962
302,None,Brasov,ROM,1,1391.08874512,1962-05-28,1962-06-03,1962
303,None,Zwickau,GDR,1,1389.01000977,1962-05-28,1962-05-30,1962
304,None,Evora,POR,1,1387.94042969,1962-05-28,1962-09-19,1962
305,None,Bury,ENG,2,1384.95458984,1962-04-29,1962-08-18,1962
306,None,PSV,NED,1,1384.82202148,1962-05-21,1962-08-26,1962
307,None,Trier,FRG,1,1384.42407227,1962-04-26,1962-07-01,1962
308,None,Sodingen,FRG,1,1377.29870605,1962-04-15,1962-07-01,1962
309,None,Schwechat,AUT,1,1376.4765625,1962-05-28,1962-06-02,1962
310,None,Rotation Leipzig,GDR,1,1376.06164551,1962-05-28,1962-05-30,1962
311,None,Kapfenberg,AUT,1,1375.5020752,1962-05-27,1962-06-03,1962
312,None,Bristol Rovers,ENG,2,1374.65515137,1962-04-29,1962-07-01,1962
313,None,Olhanense,POR,1,1374.25500488,1962-05-28,1962-09-19,1962
314,None,St Patricks,IRL,0,1374.04821777,1961-09-28,1962-07-01,1962
315,None,Turbine Erfurt,GDR,1,1373.68823242,1962-05-28,1962-05-30,1962
316,None,Wiener Neustadt,AUT,1,1373.52270508,1962-05-27,1962-06-02,1962
317,None,Beira Mar,POR,1,1373.42297363,1962-05-28,1962-07-01,1962
318,None,Senftenberg,GDR,1,1372.09912109,1962-05-28,1962-05-30,1962
319,None,Apollon Athens,GRE,1,1371.05786133,1962-05-28,1962-06-10,1962
320,None,Halle,GDR,1,1369.20349121,1962-05-28,1962-05-30,1962
321,None,Magdeburg,GDR,1,1366.92126465,1962-05-28,1962-05-30,1962
322,None,Linfield,NIR,0,1365.97314453,1961-09-28,1962-09-05,1962
323,None,Bremer SV,FRG,1,1364.8671875,1962-04-16,1962-07-01,1962
324,None,Bronshoj,DEN,1,1362.21630859,1962-05-28,1962-06-02,1962
325,None,Stendal,GDR,1,1359.6751709,1962-05-28,1962-05-30,1962
326,None,Oergryte,SWE,1,1358.67175293,1962-05-25,1962-05-31,1962
327,None,Stirling Albion,SCO,1,1358.48657227,1962-04-29,1962-07-01,1962
328,None,Oerebro,SWE,1,1358.42504883,1962-05-28,1962-05-31,1962
329,None,Helsingborg,SWE,1,1358.2713623,1962-05-25,1962-05-31,1962
330,None,Rapid Bucuresti,ROM,1,1356.91503906,1962-05-28,1962-06-03,1962
331,None,Koge,DEN,1,1354.71069336,1962-05-28,1962-06-03,1962
332,None,Malmoe,SWE,1,1354.38305664,1962-05-28,1962-05-31,1962
333,None,FC Kobenhavn,DEN,1,1353.41040039,1962-05-28,1962-06-03,1962
334,None,Goeteborg,SWE,1,1353.39782715,1962-05-25,1962-05-31,1962
335,None,Covilha,POR,1,1351.95080566,1962-05-28,1962-07-01,1962
336,None,Universitatea Cluj,ROM,1,1349.99414062,1962-05-28,1962-06-03,1962
337,None,Bacau,ROM,1,1347.62402344,1962-05-28,1962-06-03,1962
338,None,IFK Malmoe,SWE,1,1347.41296387,1962-05-28,1962-05-31,1962
339,None,Degerfors,SWE,1,1342.75964355,1962-05-28,1962-05-31,1962
340,None,Frederikshavn,DEN,1,1339.2980957,1962-05-28,1962-06-03,1962
341,None,KPS Brno,CSR,1,1333.73132324,1962-05-07,1962-07-04,1962
342,None,Panionios,GRE,1,1333.33666992,1962-05-28,1962-06-10,1962
343,None,Progresul,ROM,1,1333.0045166,1962-05-28,1962-06-03,1962
344,None,Union 06,FRG,1,1332.46838379,1962-04-30,1962-07-01,1962
